# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,0.012872934341430664,9503,24,0,225,183
11,1,0.16647911071777344,9380,38,8,2976,2374
12,1,0.4571847915649414,8743,42,8,7655,6268
13,1,1.337141990661621,9963,53,17,19768,16550
14,1,0.7434260845184326,9750,54,2,9948,8614
15,1,3.2609360218048096,10296,76,45,41531,35471
16,1,2.4317851066589355,9446,84,14,28895,25217
17,1,12.967297077178955,9945,90,15,127616,112866
18,1,31.395735025405884,10422,107,13,340459,301646
19,1,209.53091883659363,11370,122,60,2027843,1815939
20,1,63.947444915771484,11181,136,22,645312,584303
21,1,343.77676796913147,12381,150,52,3280419,2975191
22,1,588.1647040843964,12102,166,34,5415162,4934544
23,1,600.001571893692,12402,175,24,5194306,4751111
24,1,600.0003960132599,12879,196,29,4858792,4476437
25,1,600.0003798007965,14282,212,24,4914783,4522054
26,1,600.0012061595917,14256,227,10,4844181,4460213
27,1,600.0015330314636,16489,246,0,4836748,4408101
28,1,600.0005879402161,16048,254,8,4436322,4134360
29,1,600.001754283905,15972,271,0,4247965,3945652
30,1,600.0027439594269,14934,284,0,3970736,3750286
31,1,600.0,15579,297,2,4009092,3765245
32,1,600.0011801719666,17895,339,0,3914980,3684659
33,1,600.0005922317505,16844,348,0,3696727,3508801
34,1,600.0004720687866,19611,378,0,3665663,3460610
35,1,600.002377986908,18158,390,0,3354728,3198253
36,1,600.0000250339508,20438,396,0,3431110,3249735
37,1,600.0006680488586,19952,448,0,3343667,3184025
38,1,600.0000019073486,19574,429,0,3199427,3059574
39,1,600.0033249855042,19341,494,0,3074458,2950274
40,1,600.0001540184021,20929,512,0,3024275,2898464
41,1,600.0039377212524,21159,531,0,2913983,2788403
42,1,600.004096031189,22043,553,0,2873031,2755176
43,1,600.0023369789124,23763,589,0,2829738,2718073
44,1,600.003525018692,23824,603,0,2778174,2671176
45,1,600.0042560100555,22011,571,0,2636412,2546145
46,1,600.004301071167,23305,670,0,2579674,2489352
47,1,600.0025629997253,22596,642,0,2416125,2333358
48,1,600.0061848163605,24252,687,0,2438849,2358396
49,1,600.0007998943329,23712,708,0,2385376,2313588
50,1,600.0041198730469,26916,783,0,2380691,2304947
51,1,600.0021500587463,29253,876,0,2416478,2325506
52,1,600.0059928894043,23519,728,0,2184754,2126300
53,1,600.0035362243652,24357,802,0,2086972,2026991
54,1,600.0057938098907,23951,852,0,2125236,2062844
55,1,600.0103960037231,25139,785,0,2090648,2036696
56,1,600.0039267539978,24600,884,0,2086463,2030629
57,1,600.0097188949585,27681,897,0,2033735,1981015
58,1,600.0056269168854,26716,975,0,1975982,1926206
59,1,600.0128309726715,24596,819,0,1845178,1800891
60,1,600.0076658725739,25247,1022,0,1898252,1850925
61,1,600.0100898742676,24992,909,0,1874806,1831072
62,1,600.0070559978485,27182,957,0,1851264,1808923
63,1,600.0000851154327,27317,1036,0,1770030,1728026
64,1,600.0093801021576,27320,1078,0,1673316,1635350
65,1,600.0088908672333,27462,1037,0,1627277,1592209
66,1,600.0022978782654,28349,1045,0,1584398,1550833
67,1,600.0003750324249,30698,1137,0,1633114,1596845
68,1,600.0155119895935,28698,1160,0,1641586,1607445
69,1,600.0087690353394,30352,1084,0,1655160,1621381
70,1,600.0008697509766,32232,1281,0,1657244,1620452
71,1,600.0013737678528,31089,1292,0,1594543,1562093
72,1,600.0127222537994,29524,1383,0,1603462,1569816
73,1,600.0049066543579,30796,1256,0,1546115,1517144
74,1,600.0108768939972,32330,1260,0,1535544,1505929
75,1,600.0163841247559,31946,1453,0,1528494,1498799
76,1,600.0077610015869,29463,1295,0,1441648,1415939
77,1,600.0127317905426,31458,1563,0,1381535,1356085
78,1,600.020054101944,30255,1523,0,1422844,1396698
79,1,600.0095100402832,34912,1573,0,1365257,1340060
80,1,600.0022339820862,31167,1406,0,1386173,1361531
81,1,600.0104970932007,33886,1492,0,1324280,1301757
82,1,600.0068008899689,36982,1581,0,1318438,1295525
83,1,600.0097889900208,33682,1588,0,1280628,1259101
84,1,600.0084419250488,31521,1564,0,1251681,1231390
85,1,600.0036108493805,33340,1545,0,1301176,1279657
86,1,600.0002419948578,36437,1846,0,1315453,1292242
87,1,600.0074551105499,33738,1592,0,1211921,1192793
88,1,600.0243182182312,34488,1681,0,1245304,1225048
89,1,600.0254819393158,35404,1854,0,1208781,1188983
90,1,600.0333521366119,33547,1469,0,1148957,1131981
91,1,600.0369789600372,32688,1632,0,1209857,1191667
92,1,600.0065689086914,35784,1791,0,1182563,1164693
93,1,600.024523973465,36892,1962,0,1180216,1162034
94,1,600.015367269516,38717,1621,0,1158208,1141449
95,1,600.0201818943024,36314,2042,0,1129430,1111959
96,1,600.008996963501,33741,1665,0,1098239,1083070
97,1,600.0000019073486,38658,1728,0,1120129,1104188
98,1,600.0044610500336,37244,1836,0,1102017,1086690
99,1,600.000735282898,33510,1894,0,1087644,1072619
100,1,600.0192937850952,39545,2226,0,1096647,1080670
101,1,600.030907869339,38859,2044,0,1052921,1037989
102,1,600.0430042743683,38749,2074,0,1058012,1043279
103,1,600.0094339847565,38099,1976,0,1040148,1026055
104,1,600.0118451118469,33155,1699,0,1015202,1002375
105,1,600.0458650588989,37713,1952,0,1013473,999922
106,1,600.0041978359222,35713,2031,0,1007447,994148
107,1,600.0418400764465,38052,2164,0,965282,952458
108,1,600.0489468574524,38540,2061,0,976437,963514
109,1,600.0319941043854,39520,2312,0,981914,968565
110,1,600.0114512443542,39650,2499,0,981039,967552
111,1,600.0150847434998,40247,2331,0,953534,941261
112,1,600.0484809875488,38909,2381,0,959773,946808
113,1,600.0149109363556,39078,2288,0,909540,897979
114,1,600.018639087677,39681,2391,0,920442,908687
115,1,600.0066978931427,42786,2361,0,915874,904135
116,1,600.0494558811188,41449,2764,0,923569,911078
117,1,600.031341791153,38850,2364,0,897668,886200
118,1,600.0150139331818,43323,2582,0,897193,885657
119,1,600.0018172264099,43524,2428,0,857874,846833
120,1,600.0514998435974,43465,2928,0,879879,868200
121,1,600.0446689128876,41735,2412,0,862983,852766
122,1,600.0179440975189,42527,2548,0,854666,844117
123,1,600.0625677108765,41340,2625,0,850483,839774
124,1,600.041454076767,42045,2685,0,845784,835411
125,1,600.000049829483,42444,2816,0,818537,808119
126,1,600.0513899326324,42650,2496,0,818155,808133
127,1,600.0356631278992,44918,2599,0,816924,806756
128,1,600.0133898258209,41252,2644,0,796164,786583
129,1,600.0713250637054,42843,2767,0,806886,797153
130,1,600.0280230045319,43445,2645,0,794727,785388
131,1,600.0725219249725,42142,2706,0,773913,764698
132,1,600.0753648281097,42685,3069,0,773573,763885
133,1,600.0830290317535,42578,2580,0,771969,762944
134,1,600.0241830348969,44604,3418,0,782282,771981
135,1,600.019556760788,44924,3112,0,770180,760705
136,1,600.0650548934937,45757,2792,0,753214,744415
137,1,600.0646572113037,42163,2612,0,732794,724413
138,1,600.089320898056,43170,2757,0,730461,721747
139,1,600.0918130874634,41465,2832,0,737686,729022
140,1,600.0860531330109,44889,3374,0,737304,728127
141,1,600.0590517520905,44687,3207,0,728283,719564
142,1,600.0387260913849,45973,3420,0,726407,717545
143,1,600.0266270637512,44684,3282,0,701527,693135
144,1,600.0004210472107,44096,3554,0,703074,694370
145,1,600.0332181453705,46403,3502,0,705971,696858
146,1,600.0224833488464,44735,3021,0,693131,684894
147,1,600.0476369857788,49625,4118,0,707321,697603
148,1,600.0221750736237,46660,3271,0,706061,697825
149,1,600.0544309616089,45172,2976,0,690410,682548
150,1,600.0228450298309,46695,3440,0,699553,690734
151,1,600.0918629169464,49115,3520,0,697929,689286
152,1,600.0292191505432,50282,3867,0,699965,691199
153,1,600.0443580150604,46959,3490,0,681252,673283
154,1,600.0292088985443,47069,3991,0,685617,676742
155,1,600.1047308444977,47264,3674,0,665944,657762
156,1,600.0264647006989,46423,3505,0,662924,654769
157,1,600.0324411392212,48987,4023,0,663342,655071
