# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,0.00011181831359863281,13981.0,,11,,
11,1,7.677078247070312e-05,20087.0,,8,,
12,1,0.0002739429473876953,21898.0,,28,,
13,1,0.0003650188446044922,21322.0,,34,,
14,1,0.000225067138671875,21085.0,,22,,
15,1,0.0005888938903808594,24150.0,,57,,
16,1,0.0005898475646972656,22299.0,,55,,
17,1,0.0003371238708496094,25766.0,,29,,
18,1,0.0002880096435546875,27505.0,,23,,
19,1,0.00010704994201660156,26811.0,,8,,
20,1,0.00033211708068847656,25849.0,,25,,
21,1,0.0014617443084716797,30478.0,,106,,
22,1,0.016041994094848633,32121.0,,768,,
23,1,0.00987100601196289,34561.0,,443,,
24,1,0.005141019821166992,35359.0,,162,,
25,1,0.003587007522583008,36333.0,,71,,
26,1,0.00636601448059082,40016.0,,338,,
27,1,0.00030612945556640625,38692.0,,17,,
28,1,0.0008697509765625,32469.0,,48,,
29,1,0.0027649402618408203,42426.0,,152,,
30,1,0.003002643585205078,45315.0,,93,,
31,1,0.018158912658691406,43371.0,,699,,
32,1,0.0052947998046875,54109.0,,267,,
33,1,0.039276123046875,39037.0,,1800,,
34,1,0.0017330646514892578,41360.0,,81,,
35,1,0.21235108375549316,46849.0,,7549,,
36,1,0.022043943405151367,49256.0,,992,,
37,1,0.15899109840393066,51779.0,,6552,,
38,1,0.36275792121887207,55700.0,,13090,,
39,1,0.09889006614685059,50843.0,,3844,,
40,1,0.06438302993774414,54177.0,,2294,,
41,1,0.016857147216796875,54833.0,,665,,
42,1,0.3310718536376953,66372.0,,11104,,
43,1,0.42196202278137207,61076.0,,14074,,
44,1,0.10444974899291992,60192.0,,3386,,
45,1,0.34259581565856934,57384.0,,11332,,
46,1,0.295989990234375,55620.0,,9034,,
47,1,1.1627466678619385,55626.0,,32535,,
48,1,1.8101680278778076,62311.0,,53143,,
49,1,6.81745171546936,63186.0,,206704,,
50,1,4.630035161972046,67410.0,,138916,,
51,1,6.442129135131836,70428.0,,185480,,
52,1,6.580980062484741,68040.0,,184229,,
53,1,15.866557836532593,76308.0,,455884,,
54,1,11.973953008651733,70134.0,,325940,,
55,1,5.5912370681762695,75978.0,,148911,,
56,1,1.4000167846679688,69463.0,,37131,,
57,1,10.511244058609009,73014.0,,274600,,
58,1,2.6152572631835938,64744.0,,53892,,
59,1,72.27452325820923,79009.0,,1767495,,
60,1,75.00941681861877,72603.0,,1983073,,
61,1,5.271697282791138,79962.0,,138260,,
62,1,78.12463307380676,86808.0,,2057479,,
63,1,4.314307928085327,82402.0,,112109,,
64,1,27.846960306167603,81710.0,,699228,,
