# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,600.0190150737762,8713,200,0,7969,0
11,1,600.0283739566803,8893,200,8,7730,8
12,1,600.0493469238281,9772,200,2,7617,2
13,1,600.1007950305939,9094,200,3,6662,3
14,1,600.0696601867676,9621,200,2,6992,2
15,1,600.0628871917725,9932,200,7,6494,7
16,1,600.1031172275543,10323,200,11,7040,11
17,1,600.0613529682159,10236,200,3,5916,3
18,1,600.0671310424805,10916,200,18,6032,18
19,1,600.0571949481964,10800,200,11,5490,11
20,1,600.077956199646,10974,200,13,5279,13
21,1,600.0104598999023,13232,200,15,5154,15
22,1,600.1167032718658,12094,200,4,4759,4
23,1,600.1066370010376,12820,200,16,4593,16
24,1,600.0846650600433,14058,200,16,4251,16
25,1,600.1075971126556,12904,200,24,4174,24
26,1,600.0083193778992,13651,200,32,4109,32
27,1,600.1404149532318,12390,200,14,3772,14
28,1,600.1143412590027,13523,200,11,3693,11
29,1,600.0668580532074,13239,200,12,3681,12
30,1,600.1259882450104,13436,200,20,3401,20
31,1,600.1051390171051,13787,200,35,3410,35
32,1,600.1235592365265,13824,200,17,3410,17
33,1,600.0002360343933,14928,200,24,3202,24
34,1,600.1957359313965,14946,200,35,2954,35
35,1,600.0136139392853,14805,200,33,2969,33
36,1,600.1123909950256,15776,200,35,2733,35
37,1,600.0210092067719,15039,200,36,2634,36
38,1,600.0740299224854,16000,200,29,2682,29
39,1,600.1466181278229,16823,200,24,2626,24
40,1,600.0601258277893,16321,200,18,2577,18
41,1,600.0601580142975,17076,200,20,2540,20
42,1,600.1303360462189,16742,200,34,2280,34
43,1,600.1905970573425,15744,200,33,2222,33
44,1,600.0508737564087,17912,200,23,2325,23
45,1,600.1690549850464,17562,200,29,2236,29
46,1,600.141773223877,17529,200,21,2155,21
47,1,600.1203589439392,18350,200,37,2099,37
48,1,600.3242180347443,18891,200,32,1969,32
49,1,600.1771810054779,18068,200,18,1944,18
50,1,600.0728397369385,19446,200,28,1952,28
51,1,600.2463548183441,18453,200,25,1927,25
52,1,600.2052900791168,19543,200,28,1847,28
53,1,600.1202800273895,22575,200,29,1742,29
54,1,600.1226418018341,21802,200,6,1654,6
55,1,600.1833600997925,19951,200,17,1620,17
56,1,600.1726729869843,22382,200,8,1613,8
57,1,600.0417799949646,22771,200,16,1633,16
58,1,600.1578800678253,22556,200,10,1637,10
59,1,600.378458738327,23687,200,15,1559,15
60,1,600.4019939899445,24685,200,13,1512,13
61,1,600.4078359603882,22404,200,9,1506,9
62,1,600.293182849884,25389,200,7,1437,7
63,1,600.3562788963318,24955,200,15,1445,15
64,1,600.4977538585663,25473,200,10,1381,10
65,1,600.2295339107513,26360,200,18,1348,18
66,1,600.1696348190308,25902,200,20,1297,20
67,1,600.2276511192322,25979,200,14,1301,14
68,1,600.4214949607849,26924,200,4,1219,4
69,1,600.2871479988098,28291,200,5,1242,5
70,1,600.1127440929413,30391,200,1,1191,1
71,1,600.5096681118011,30706,200,6,1165,6
72,1,600.520987033844,28602,200,17,1174,17
73,1,600.1695110797882,32166,200,2,1110,2
74,1,600.4449820518494,30043,200,1,1123,1
75,1,600.4490396976471,31391,200,2,1115,2
76,1,600.0848360061646,30402,200,3,1041,3
77,1,600.4809679985046,31500,200,0,1033,0
78,1,600.5536992549896,32890,200,2,1025,2
79,1,600.2764799594879,32094,200,1,994,1
80,1,600.5032110214233,33144,200,3,1012,3
81,1,600.2267959117889,31736,200,1,978,1
82,1,600.138491153717,34636,200,1,977,1
83,1,600.5001740455627,32488,200,0,959,0
84,1,600.6182200908661,33770,200,0,934,0
