# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,0.0004467964172363281,8501,,1,,
11,1,0.0005202293395996094,10165,,1,,
12,1,0.000579833984375,10904,,1,,
13,1,0.0007162094116210938,10856,,1,,
14,1,0.00090789794921875,10239,,1,,
15,1,0.0010650157928466797,13403,,1,,
16,1,0.00128173828125,12632,,1,,
17,1,0.0015110969543457031,11455,,1,,
18,1,0.0017600059509277344,12393,,1,,
19,1,0.002137899398803711,11406,,1,,
20,1,0.0024483203887939453,14324,,1,,
21,1,0.0028040409088134766,15688,,1,,
22,1,0.00322723388671875,18205,,1,,
23,1,0.0036461353302001953,15166,,1,,
24,1,0.004034757614135742,15456,,1,,
25,1,0.004511833190917969,16679,,1,,
26,1,0.005054950714111328,16591,,1,,
27,1,0.0055081844329833984,18727,,1,,
28,1,0.006236076354980469,17727,,1,,
29,1,0.006974935531616211,16877,,1,,
30,1,0.0076389312744140625,15411,,1,,
31,1,0.008383989334106445,19126,,1,,
32,1,0.009159088134765625,18610,,1,,
33,1,0.010058164596557617,18235,,1,,
34,1,0.011059045791625977,19900,,1,,
35,1,0.012100934982299805,19553,,1,,
36,1,0.01312708854675293,18849,,1,,
37,1,0.014176130294799805,22187,,1,,
38,1,0.015399932861328125,21675,,1,,
39,1,0.016514062881469727,19218,,1,,
40,1,0.01729607582092285,22180,,1,,
41,1,0.01840496063232422,20171,,1,,
42,1,0.01964282989501953,22496,,1,,
43,1,0.021212339401245117,22470,,1,,
44,1,0.02272796630859375,22798,,1,,
45,1,0.024194002151489258,23496,,1,,
46,1,0.02584981918334961,25012,,1,,
47,1,0.027660131454467773,22930,,1,,
48,1,0.029359817504882812,20854,,1,,
49,1,0.03143811225891113,24612,,1,,
50,1,0.03329110145568848,26225,,1,,
51,1,0.03505277633666992,23581,,1,,
52,1,0.03836417198181152,24875,,1,,
53,1,0.039379119873046875,27768,,1,,
54,1,0.04588603973388672,26372,,1,,
55,1,0.04882407188415527,25389,,1,,
56,1,0.04652905464172363,24804,,1,,
57,1,0.0491330623626709,27992,,1,,
58,1,0.05143404006958008,27003,,1,,
59,1,0.05370807647705078,25462,,1,,
60,1,0.05675315856933594,27771,,1,,
61,1,0.061506032943725586,28105,,1,,
62,1,0.06380295753479004,27343,,1,,
63,1,0.06589007377624512,28045,,1,,
64,1,0.06863164901733398,27841,,1,,
65,1,0.07178092002868652,29329,,1,,
66,1,0.07510089874267578,28125,,1,,
67,1,0.07837986946105957,27751,,1,,
68,1,0.08221793174743652,29463,,1,,
69,1,0.08544802665710449,32534,,1,,
70,1,0.08991098403930664,29533,,1,,
71,1,0.09377098083496094,31700,,1,,
72,1,0.0972909927368164,30670,,1,,
73,1,0.10159993171691895,31483,,1,,
74,1,0.10549712181091309,30689,,1,,
75,1,0.11054396629333496,31574,,1,,
76,1,0.11412382125854492,30254,,1,,
77,1,0.11888909339904785,30000,,1,,
78,1,0.1231989860534668,33439,,1,,
79,1,0.13102316856384277,31021,,1,,
80,1,0.1329662799835205,30203,,1,,
81,1,0.13762998580932617,33634,,1,,
82,1,0.14332914352416992,32216,,1,,
83,1,0.15101289749145508,36592,,1,,
84,1,0.15358495712280273,32285,,1,,
85,1,0.15971088409423828,34852,,1,,
86,1,0.16443634033203125,33745,,1,,
87,1,0.17247915267944336,33845,,1,,
88,1,0.17813491821289062,35595,,1,,
89,1,0.18276000022888184,34070,,1,,
90,1,0.18920516967773438,33072,,1,,
91,1,0.1956160068511963,33963,,1,,
92,1,0.20246195793151855,33684,,1,,
93,1,0.2089672088623047,35368,,1,,
94,1,0.21705079078674316,37691,,1,,
95,1,0.2229619026184082,36279,,1,,
96,1,0.22875404357910156,34670,,1,,
97,1,0.2378370761871338,36909,,1,,
98,1,0.24313688278198242,38219,,1,,
99,1,0.2510819435119629,35559,,1,,
100,1,0.25913214683532715,40383,,1,,
101,1,0.265002965927124,38334,,1,,
102,1,0.2743101119995117,36733,,1,,
103,1,0.28456997871398926,36440,,1,,
104,1,0.29047513008117676,36540,,1,,
105,1,0.29796791076660156,38498,,1,,
106,1,0.30963993072509766,37750,,1,,
107,1,0.3182041645050049,38005,,1,,
108,1,0.3261868953704834,42147,,1,,
109,1,0.33482789993286133,38024,,1,,
110,1,0.34377217292785645,37939,,1,,
111,1,0.3512601852416992,37910,,1,,
112,1,0.3626842498779297,37337,,1,,
113,1,0.37158203125,39072,,1,,
114,1,0.38091373443603516,40993,,1,,
115,1,0.3936641216278076,39708,,1,,
116,1,0.40255188941955566,39258,,1,,
117,1,0.41246509552001953,41174,,1,,
118,1,0.424727201461792,42499,,1,,
119,1,0.4350621700286865,45933,,1,,
120,1,0.45140600204467773,41514,,1,,
121,1,0.45987486839294434,42520,,1,,
122,1,0.46683502197265625,45139,,1,,
123,1,0.49802517890930176,41716,,1,,
124,1,0.5021369457244873,43677,,1,,
125,1,0.5051381587982178,43021,,1,,
126,1,0.517704963684082,42348,,1,,
127,1,0.5277318954467773,45000,,1,,
128,1,0.5402359962463379,42835,,1,,
129,1,0.5641570091247559,43268,,1,,
130,1,0.5728280544281006,42170,,1,,
131,1,0.5805909633636475,42146,,1,,
132,1,0.5917789936065674,43523,,1,,
133,1,0.6056311130523682,40189,,1,,
134,1,0.6190102100372314,44505,,1,,
135,1,0.6303212642669678,43769,,1,,
136,1,0.6485671997070312,43306,,1,,
137,1,0.6614656448364258,42021,,1,,
138,1,0.675490140914917,41030,,1,,
139,1,0.6904640197753906,44183,,1,,
140,1,0.7045960426330566,45278,,1,,
141,1,0.7229878902435303,46293,,1,,
142,1,0.739264965057373,43598,,1,,
143,1,0.7495779991149902,46705,,1,,
144,1,0.7672092914581299,44919,,1,,
145,1,0.7826359272003174,44812,,1,,
146,1,0.8014469146728516,45383,,1,,
147,1,0.8189702033996582,46127,,1,,
148,1,0.8359019756317139,44699,,1,,
149,1,0.8529589176177979,47352,,1,,
150,1,0.8662369251251221,46673,,1,,
151,1,0.8865277767181396,47710,,1,,
152,1,0.9122700691223145,48200,,1,,
153,1,0.9215087890625,43908,,1,,
154,1,1.1166999340057373,46492,,1,,
155,1,0.9870178699493408,46466,,1,,
156,1,0.9929819107055664,48435,,1,,
157,1,1.0129280090332031,47693,,1,,
158,1,1.027918815612793,48356,,1,,
159,1,1.046656608581543,49192,,1,,
160,1,1.0785322189331055,49699,,1,,
161,1,1.0763421058654785,47011,,1,,
162,1,1.1059978008270264,48503,,1,,
163,1,1.1126458644866943,49537,,1,,
164,1,1.6717138290405273,48843,,1,,
165,1,1.3268001079559326,48632,,1,,
166,1,1.181678056716919,49341,,1,,
167,1,1.1977882385253906,49385,,1,,
168,1,1.2168970108032227,48642,,1,,
169,1,1.9054350852966309,51690,,1,,
170,1,1.2677228450775146,49637,,1,,
171,1,1.3008499145507812,47884,,1,,
172,1,1.368299961090088,51173,,1,,
173,1,1.3615400791168213,50860,,1,,
174,1,1.367081880569458,51810,,1,,
175,1,1.3808190822601318,51977,,1,,
176,1,1.43711519241333,48630,,1,,
177,1,1.4730541706085205,51870,,1,,
