# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,0.02112889289855957,8959,27,2,352,283
11,1,0.19938278198242188,8838,38,14,3579,2828
12,1,0.37119483947753906,9384,45,9,6150,5005
13,1,0.9028449058532715,10489,50,117,13901,11297
14,1,0.7064790725708008,9922,62,4,8393,7225
15,1,2.845881700515747,10364,74,25,36458,31530
16,1,2.9798810482025146,10730,83,23,35405,30755
17,1,9.489681243896484,9910,91,2,111534,98996
18,1,50.38866686820984,11067,105,22,520201,463682
19,1,60.00041604042053,12024,125,12,557198,497098
20,1,51.76937508583069,11047,132,14,388525,352478
21,1,60.00148606300354,12373,151,26,446752,407114
22,1,60.00024914741516,18261,147,39283,555669,351474
23,1,60.00070929527283,16219,157,0,501835,462046
24,1,60.00031900405884,15603,198,2,480457,439006
25,1,60.00120711326599,16267,209,4,483664,448265
26,1,60.001713037490845,15880,226,0,380580,350709
27,1,60.0023889541626,15867,249,0,398091,368603
28,1,60.00048208236694,18000,270,0,390797,361189
29,1,60.000380992889404,18775,279,0,406251,379924
30,1,60.00046420097351,17419,283,0,391935,368036
31,1,60.003225803375244,19807,304,0,374101,350799
32,1,60.001670122146606,16919,309,0,346538,328862
33,1,60.000000953674316,20714,381,0,371620,349841
34,1,60.003637075424194,19185,387,0,360621,340710
35,1,60.00008010864258,20708,410,0,342842,325371
36,1,60.005804777145386,20869,415,0,325482,309740
37,1,60.00192618370056,19856,418,0,316595,302895
38,1,60.0019211769104,21648,396,0,301716,289273
39,1,60.001770973205566,20394,485,0,299114,286143
40,1,60.0025269985199,21066,483,0,287057,275897
41,1,60.00238394737244,22073,523,0,290199,277858
42,1,60.003807067871094,21817,500,0,277371,267659
43,1,60.00107216835022,24933,561,0,278653,267824
44,1,60.00075006484985,21651,498,0,263753,254410
45,1,60.00078797340393,22888,599,0,260626,251714
46,1,60.002166986465454,23928,659,0,259855,250202
47,1,60.00599694252014,22454,616,0,201344,194666
48,1,60.000272035598755,22301,604,0,227948,221031
49,1,60.008644104003906,23260,612,0,229793,222733
50,1,60.005125999450684,27989,776,0,225171,217312
51,1,60.0069580078125,22746,710,0,218439,211353
52,1,60.007483959198,26033,757,0,207450,201220
53,1,60.00722599029541,27247,838,0,208822,202208
54,1,60.000601053237915,25860,811,0,202991,196816
55,1,60.000000953674316,24098,762,0,189438,184068
56,1,60.006568908691406,28363,931,0,193471,187337
57,1,60.004313230514526,24840,719,0,192736,187662
58,1,60.01055884361267,27379,910,0,195455,189943
59,1,60.00828409194946,26670,843,0,186238,181306
60,1,60.010576009750366,27703,948,0,180844,175697
61,1,60.0134859085083,25929,927,0,179412,174651
62,1,60.00786089897156,26346,842,0,178533,174120
63,1,60.00364804267883,28184,852,0,174653,170235
64,1,60.026000022888184,29400,1037,0,175319,170648
65,1,60.01630687713623,27496,863,0,159714,155919
66,1,60.0068097114563,26294,971,0,158627,154584
67,1,60.00238013267517,29329,1205,0,158076,153835
68,1,60.003424882888794,29702,1261,0,154971,150855
69,1,60.00213098526001,29712,941,0,151745,148033
70,1,60.00265908241272,32783,1092,0,142139,138517
71,1,60.00590801239014,32510,1211,0,132989,129527
72,1,60.013407945632935,30945,996,0,143017,139608
73,1,60.01616191864014,31335,1228,0,134245,130650
74,1,60.00653576850891,29594,1295,0,130203,126808
75,1,60.01104402542114,31663,1453,0,136267,132531
76,1,60.007049798965454,30479,1093,0,136211,132998
77,1,60.01930284500122,31442,983,0,128873,125930
78,1,60.00581407546997,29778,1408,0,134235,130809
79,1,60.02486824989319,31463,1230,0,128506,125538
80,1,60.00643277168274,32140,1411,0,131382,128211
81,1,60.02053141593933,34897,1486,0,125193,122114
82,1,60.02622604370117,34199,1344,0,123613,120566
83,1,60.024646043777466,33648,1384,0,120579,117756
84,1,60.024986028671265,34419,1410,0,123110,120163
85,1,60.00714588165283,34201,1482,0,119652,116505
86,1,60.02627396583557,30938,1408,0,117159,114198
87,1,60.013871908187866,34971,1569,0,117799,114725
88,1,60.02023911476135,36287,1492,0,82406,79893
89,1,60.00051403045654,32326,1371,0,113349,110564
90,1,60.03965497016907,32935,1305,0,78918,76862
91,1,60.01706004142761,36821,1379,0,115679,113125
92,1,60.028350830078125,35999,1529,0,116737,113788
93,1,60.018718004226685,34955,1558,0,113985,111307
94,1,60.014822006225586,37800,1874,0,111694,108623
95,1,60.00571799278259,35473,1769,0,108283,105395
96,1,60.02234888076782,39878,1936,0,108842,105694
97,1,60.02371096611023,40230,2014,0,110968,107829
98,1,60.03307604789734,35991,1565,0,106710,104059
99,1,60.03157186508179,39799,1640,0,105735,103146
100,1,60.03495407104492,37409,1862,0,104609,101723
101,1,60.02997827529907,38478,1672,0,102580,100036
102,1,60.03127193450928,34695,1732,0,102111,99399
103,1,60.00747990608215,39710,1816,0,100836,98165
104,1,60.015012979507446,36614,1836,0,100411,97896
105,1,60.03626227378845,35996,2010,0,98507,95769
106,1,60.02082824707031,36897,2066,0,98402,95659
107,1,60.04998803138733,38999,1905,0,94265,91729
108,1,60.03529214859009,39408,2026,0,96305,93370
109,1,60.01810574531555,38896,2257,0,93903,91013
110,1,60.035167932510376,38929,1919,0,92927,90081
111,1,60.04732298851013,40223,2496,0,92108,88648
112,1,60.01628804206848,40538,2531,0,91890,88676
113,1,60.007035970687866,38156,1849,0,88522,85951
114,1,60.00881218910217,38376,2201,0,88349,85579
115,1,60.013755798339844,37491,2183,0,86536,83888
116,1,60.02203917503357,41795,2204,0,85911,83011
117,1,60.04152512550354,40151,1874,0,84193,81674
118,1,60.056838035583496,40231,2526,0,86011,82647
119,1,60.07556200027466,40645,1957,0,83559,81242
120,1,60.05665612220764,41557,2650,0,83365,80137
121,1,60.023085832595825,42207,1942,0,80947,78647
122,1,60.007018089294434,41904,2719,0,81654,78457
123,1,60.09676694869995,40872,2142,0,79490,77004
124,1,60.014694929122925,43949,2480,0,79798,76889
125,1,60.03176021575928,43346,2965,0,79927,76623
126,1,60.0075798034668,43137,2659,0,78461,75467
127,1,60.073434829711914,41241,2312,0,76335,73542
128,1,60.07898783683777,41275,2710,0,77670,74588
129,1,60.02545213699341,42137,2650,0,79129,75988
130,1,60.04642415046692,45873,3244,0,79180,75857
131,1,60.039968967437744,43178,2617,0,77130,74134
132,1,60.0390419960022,43503,3148,0,77436,73743
133,1,60.07854199409485,44120,3301,0,76644,73061
134,1,60.02662801742554,43881,2855,0,75245,72094
135,1,60.070170879364014,43965,2770,0,74747,71502
136,1,60.042198181152344,44637,2741,0,73477,70166
137,1,60.034907817840576,44911,3430,0,73569,70191
138,1,60.07421803474426,44850,3080,0,72779,69355
139,1,60.069456815719604,42895,2977,0,72242,68813
140,1,60.03315806388855,47158,3156,0,71836,68482
141,1,60.042604207992554,45916,3673,0,72086,68173
142,1,60.06620907783508,44731,3103,0,70862,67341
143,1,60.07582688331604,47182,3641,0,70307,66742
144,1,60.07917809486389,42332,2820,0,68665,65676
145,1,60.02776503562927,43653,3131,0,67947,65027
146,1,60.09372520446777,44881,3363,0,68115,64846
147,1,60.00051403045654,44423,2960,0,66685,63929
148,1,60.01649618148804,44130,2882,0,65787,62577
149,1,60.07532095909119,45309,3479,0,66041,62353
150,1,60.018563985824585,46515,3589,0,66853,62971
151,1,60.10284376144409,46176,3244,0,64718,61305
152,1,60.01974391937256,46389,3188,0,64538,61109
153,1,60.03157305717468,46965,3275,0,63824,60253
154,1,60.047932863235474,48054,3490,0,64351,60714
155,1,60.002115964889526,46995,4081,0,64135,59882
156,1,60.04146409034729,46815,3551,0,63049,59385
157,1,60.11829090118408,47236,3369,0,62324,58810
158,1,60.01313090324402,48331,3873,0,62072,58393
159,1,60.039828062057495,49416,3698,0,61483,57894
160,1,60.10600399971008,48886,4035,0,61087,56949
161,1,60.125190019607544,49627,3753,0,60177,56421
162,1,60.07409906387329,48413,3688,0,60117,56208
163,1,60.03638195991516,48146,3371,0,59336,55829
164,1,60.069000005722046,48670,3889,0,59082,54687
165,1,60.11655521392822,50099,4218,0,59006,54674
166,1,60.067264795303345,49712,4520,0,58777,54121
167,1,60.097419023513794,51342,3692,0,56999,53020
168,1,60.080811977386475,49331,4628,0,57576,53096
169,1,60.077892780303955,49906,4094,0,56287,52167
170,1,60.135749101638794,50037,4555,0,56137,51939
171,1,60.0099561214447,47407,3941,0,54761,51243
172,1,60.120121240615845,51081,4267,0,55071,50766
