# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,0.00022101402282714844,13283,,19,,
11,1,0.00018215179443359375,19524,,19,,
12,1,4.1961669921875e-05,14419,,4,,
13,1,8.702278137207031e-05,20913,,8,,
14,1,0.00015783309936523438,22072,,14,,
15,1,0.0002281665802001953,23021,,19,,
16,1,2.5987625122070312e-05,22577,,2,,
17,1,0.0007371902465820312,27409,,62,,
18,1,0.0002837181091308594,29132,,23,,
19,1,0.0003361701965332031,24306,,27,,
20,1,0.00011396408081054688,24388,,8,,
21,1,0.0008389949798583984,32284,,62,,
22,1,0.0035288333892822266,30726,,250,,
23,1,0.00023102760314941406,30785,,15,,
24,1,0.013286828994750977,37499,,823,,
25,1,0.0010311603546142578,36386,,64,,
26,1,0.009403228759765625,42906,,561,,
27,1,0.02023005485534668,38205,,1188,,
28,1,0.03177785873413086,36609,,1814,,
29,1,0.01711416244506836,47079,,944,,
30,1,0.02024221420288086,42576,,1078,,
31,1,0.009474992752075195,46393,,482,,
32,1,0.028362035751342773,50826,,1445,,
33,1,0.0037078857421875,48148,,180,,
34,1,0.05192303657531738,44467,,2475,,
35,1,0.09724187850952148,43091,,4516,,
36,1,0.022365093231201172,54579,,1013,,
37,1,0.013808012008666992,48568,,610,,
38,1,0.012704849243164062,53734,,547,,
39,1,0.01649308204650879,56516,,694,,
40,1,0.010400056838989258,56146,,429,,
41,1,0.126600980758667,58960,,5086,,
42,1,0.608942985534668,54149,,23633,,
43,1,0.3751060962677002,65487,,14409,,
44,1,3.5500247478485107,54062,,131970,,
45,1,0.6533989906311035,71266,,22794,,
46,1,1.121230125427246,57248,,39812,,
47,1,0.9486379623413086,62342,,32768,,
48,1,2.2434160709381104,64138,,77047,,
49,1,4.544551849365234,70903,,151165,,
50,1,1.689842939376831,67665,,56087,,
