# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,60.01400303840637,8569.0,200,7,653,7
11,1,60.04910397529602,8893.0,200,9,722,9
12,1,60.05528497695923,8888.0,200,14,720,14
13,1,60.00834918022156,9503.0,200,9,702,9
14,1,60.079097032547,10521.0,200,19,731,19
15,1,60.23910093307495,10784.0,200,22,607,22
16,1,60.00886344909668,9564.0,200,26,541,26
17,1,60.00229287147522,10561.0,200,24,525,24
18,1,60.059563875198364,11139.0,200,32,540,32
19,1,60.053444147109985,10738.0,200,23,515,23
20,1,60.05606484413147,10520.0,200,36,502,36
21,1,60.04069805145264,12631.0,200,35,476,35
22,1,60.03846716880798,11870.0,200,34,465,34
23,1,60.09070014953613,12195.0,200,36,441,36
24,1,60.163963079452515,12427.0,200,41,419,41
25,1,60.105042934417725,13252.0,200,48,400,48
26,1,60.14438986778259,12906.0,200,56,429,56
27,1,60.10317373275757,13199.0,200,61,384,61
28,1,60.14260292053223,13570.0,200,54,366,54
29,1,60.04871201515198,14246.0,200,43,363,43
30,1,60.027246713638306,13998.0,200,54,351,54
31,1,60.01036024093628,14010.0,200,55,341,55
32,1,60.15369391441345,14428.0,200,91,340,91
33,1,60.049302101135254,14695.0,200,73,319,73
34,1,60.0464129447937,16425.0,200,67,310,67
35,1,60.01449704170227,14709.0,200,66,299,66
36,1,60.07677602767944,16432.0,200,60,235,60
37,1,60.11376428604126,15912.0,200,77,268,77
38,1,60.055848121643066,16078.0,200,72,263,72
39,1,60.19541597366333,17009.0,200,63,249,63
40,1,60.194467067718506,17426.0,200,77,241,77
41,1,60.08198094367981,17497.0,200,97,235,97
42,1,60.182286977767944,17920.0,200,82,229,82
43,1,60.20861005783081,17648.0,200,88,218,88
44,1,60.21681833267212,19542.0,200,97,209,97
45,1,60.01671123504639,19182.0,200,89,204,89
46,1,60.01827311515808,20230.0,200,71,182,71
47,1,60.20777702331543,21170.0,200,88,205,88
48,1,60.20058298110962,20725.0,200,89,201,89
49,1,60.040207862854004,22250.0,200,81,171,81
50,1,60.1793270111084,22261.0,200,90,179,90
51,1,60.12307596206665,24926.0,200,86,140,86
52,1,60.08814287185669,40401.0,200,30,111,30
53,1,60.308966875076294,22440.0,200,93,171,93
54,1,60.16750693321228,24229.0,200,81,154,81
55,1,60.29783511161804,25629.0,200,88,141,88
56,1,60.54516410827637,inf,200,0,96,0
57,1,60.24441385269165,inf,200,0,94,0
58,1,60.2611939907074,inf,200,0,93,0
59,1,60.395036935806274,inf,200,0,88,0
60,1,60.43609380722046,inf,200,0,83,0
61,1,60.66087102890015,inf,200,0,89,0
62,1,60.113184213638306,inf,200,0,82,0
63,1,60.30724000930786,41176.0,200,59,91,59
64,1,60.132081031799316,inf,200,0,81,0
65,1,60.09085392951965,inf,200,0,82,0
66,1,60.55074620246887,inf,200,0,78,0
67,1,60.690845012664795,inf,200,0,80,0
68,1,60.11940026283264,inf,200,0,78,0
69,1,60.37903690338135,inf,200,0,79,0
70,1,60.313015937805176,inf,200,0,75,0
71,1,60.102468967437744,inf,200,0,74,0
72,1,60.4536497592926,inf,200,0,74,0
73,1,60.48060202598572,inf,200,0,74,0
74,1,60.270817041397095,inf,200,0,73,0
75,1,60.17076086997986,inf,200,0,70,0
76,1,60.14384388923645,inf,200,0,71,0
77,1,60.444281816482544,inf,200,0,50,0
78,1,60.3610680103302,inf,200,0,68,0
79,1,60.53179693222046,inf,200,0,50,0
80,1,60.69638514518738,inf,200,0,71,0
81,1,60.67160415649414,inf,200,0,71,0
82,1,60.05216097831726,inf,200,0,70,0
83,1,60.017765045166016,inf,200,0,66,0
84,1,60.84435987472534,inf,200,0,66,0
85,1,60.678221702575684,inf,200,0,66,0
86,1,60.37899303436279,inf,200,0,66,0
87,1,60.9293909072876,inf,200,0,66,0
88,1,60.93183422088623,inf,200,0,65,0
89,1,60.833616971969604,inf,200,0,65,0
90,1,60.28672790527344,inf,200,0,64,0
91,1,60.170631885528564,inf,200,0,63,0
92,1,60.66509795188904,inf,200,0,63,0
93,1,60.991223096847534,inf,200,0,63,0
94,1,60.6873779296875,inf,200,0,62,0
95,1,60.42632174491882,inf,200,0,61,0
96,1,60.5675482749939,inf,200,0,59,0
97,1,60.78544211387634,inf,200,0,59,0
98,1,61.05475091934204,inf,200,0,58,0
99,1,60.71875715255737,inf,200,0,58,0
100,1,60.3154501914978,inf,200,0,56,0
101,1,60.4285728931427,inf,200,0,55,0
102,1,61.00813817977905,inf,200,0,56,0
103,1,60.50804805755615,inf,200,0,55,0
