# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,0.0004260540008544922,8846,,1,,
11,1,0.0004868507385253906,9305,,1,,
12,1,0.0005390644073486328,11803,,1,,
13,1,0.0006690025329589844,10635,,1,,
14,1,0.0008077621459960938,10568,,1,,
15,1,0.000982046127319336,12748,,1,,
16,1,0.0011701583862304688,11765,,1,,
17,1,0.0013990402221679688,11927,,1,,
18,1,0.0016870498657226562,12580,,1,,
19,1,0.001931905746459961,11669,,1,,
20,1,0.0022830963134765625,12829,,1,,
21,1,0.0026009082794189453,13450,,1,,
22,1,0.006134033203125,18200,,1,,
23,1,0.003314971923828125,16088,,1,,
24,1,0.005987882614135742,17407,,1,,
25,1,0.004316091537475586,17221,,1,,
26,1,0.0060460567474365234,15506,,1,,
27,1,0.012733936309814453,21335,,1,,
28,1,0.008280038833618164,16875,,1,,
29,1,0.006608009338378906,16923,,1,,
30,1,0.0073969364166259766,13806,,1,,
31,1,0.007936954498291016,18504,,1,,
32,1,0.008893966674804688,18189,,1,,
33,1,0.013192176818847656,23548,,1,,
34,1,0.010552167892456055,19010,,1,,
35,1,0.016017913818359375,20423,,1,,
36,1,0.018507003784179688,20654,,1,,
37,1,0.016185760498046875,20536,,1,,
38,1,0.01600813865661621,20312,,1,,
39,1,0.016405820846557617,21012,,1,,
40,1,0.023262977600097656,22188,,1,,
41,1,0.024471044540405273,20041,,1,,
42,1,0.021168231964111328,22140,,1,,
43,1,0.022202014923095703,21990,,1,,
44,1,0.027743816375732422,22162,,1,,
45,1,0.03607606887817383,24648,,1,,
46,1,0.031745195388793945,21028,,1,,
47,1,0.04015994071960449,22467,,1,,
48,1,0.03907585144042969,24281,,1,,
49,1,0.03918313980102539,23687,,1,,
50,1,0.03769087791442871,23274,,1,,
51,1,0.04024505615234375,25436,,1,,
52,1,0.04565691947937012,24273,,1,,
53,1,0.041723012924194336,24078,,1,,
54,1,0.041172027587890625,26185,,1,,
55,1,0.04532194137573242,24774,,1,,
56,1,0.060314178466796875,27148,,1,,
57,1,0.063812255859375,28202,,1,,
58,1,0.05965995788574219,27020,,1,,
59,1,0.05633997917175293,26500,,1,,
60,1,0.08344030380249023,27295,,1,,
