# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,0.06907105445861816,8781,28,6,929,734
11,1,0.6924879550933838,9348,36,1180,13652,7842
12,1,0.07187891006469727,10085,43,7,1235,1010
13,1,0.3772919178009033,9937,44,5,5974,5075
14,1,1.3232319355010986,9635,58,9,20006,17018
15,1,0.5907278060913086,9211,67,3,8292,7247
16,1,5.636322021484375,10431,86,29,78159,67530
17,1,12.875627040863037,10938,96,26,166008,146020
18,1,60.000219106674194,11023,104,22,734262,651632
19,1,60.00042009353638,12209,120,17,696299,623500
20,1,60.00007700920105,11179,135,26,662412,595802
21,1,60.000734090805054,14092,152,10,634944,574017
22,1,60.00133991241455,13228,157,15,598777,546878
23,1,60.00045895576477,15613,175,4,577657,529499
24,1,60.0003981590271,14993,201,5,546846,504556
25,1,60.000864028930664,14040,195,0,515750,481876
26,1,60.00163722038269,14172,210,0,497701,465322
27,1,60.0010871887207,16338,250,6,502856,461684
28,1,60.00082516670227,16496,261,0,480712,446526
29,1,60.00098776817322,17698,278,0,458909,430168
30,1,60.000930070877075,16337,286,0,448065,419507
31,1,60.00029516220093,18283,331,0,434920,407474
32,1,60.000046730041504,17531,358,0,415088,392168
33,1,60.00159692764282,19299,361,0,410692,386337
34,1,60.001211166381836,22309,394,1,402320,377388
35,1,60.00176286697388,21995,411,0,382273,362173
36,1,60.000709772109985,22099,410,0,376217,356066
37,1,60.00174593925476,19290,432,0,357981,341236
38,1,60.00179886817932,22148,450,0,349604,333489
39,1,60.00211524963379,18986,414,0,326606,314165
40,1,60.001697063446045,21045,444,0,320638,308448
41,1,60.00383996963501,19981,419,0,307627,296838
42,1,60.00412702560425,22225,479,0,305294,294284
43,1,60.001489877700806,22151,522,0,299647,288727
44,1,60.00383687019348,21476,515,0,283189,273448
45,1,60.0,23842,629,0,284815,274086
46,1,60.0040819644928,24344,619,0,280499,270595
47,1,60.002949953079224,24739,648,0,278101,267664
48,1,60.00245809555054,23349,700,0,269090,259824
49,1,60.005008935928345,24387,653,0,260302,252098
50,1,60.00620484352112,25505,661,0,259115,250554
